user_id,signup_date,acquisition_channel,country
U00073,2024-04-26,organic,IN
U00074,2024-06-11,paid_ads,IN
U00075,2024-04-03,social,IN
U00076,2024-02-11,referral,IN
U00077,2024-04-04,paid_ads,IN
U00078,2024-03-31,referral,AE
U00079,2024-02-23,organic,SG
U00080,2024-06-20,paid_ads,IN
U00081,2024-03-09,referral,AE
U00082,2024-06-28,organic,IN
U00083,2024-06-23,organic,IN
U00084,2024-06-14,paid_ads,US
U00085,2024-01-19,paid_ads,IN
U00086,2024-06-04,social,IN
U00087,2024-06-11,organic,IN
U00088,2024-02-13,paid_ads,US
U00089,2024-05-16,social,IN
U00090,2024-03-03,organic,IN
U00091,2024-02-11,referral,IN
U00092,2024-04-28,paid_ads,IN
U00093,2024-04-07,paid_ads,IN
U00094,2024-03-10,paid_ads,US
U00095,2024-06-12,referral,US
U00096,2024-06-25,referral,SG
U00097,2024-05-22,social,IN
U00098,2024-02-26,paid_ads,IN
U00099,2024-06-24,paid_ads,SG
U00100,2024-03-24,social,SG
U00101,2024-01-15,referral,US
U00102,2024-02-28,social,US
U00103,2024-01-09,referral,IN
U00104,2024-03-21,organic,IN
U00105,2024-04-12,organic,US
U00106,2024-03-09,referral,IN
U00107,2024-01-17,organic,IN
U00108,2024-02-24,organic,US
U00109,2024-05-25,organic,US
U00110,2024-03-21,paid_ads,IN
U00111,2024-02-24,social,AE
U00112,2024-06-16,paid_ads,AE
U00113,2024-05-07,organic,SG
U00114,2024-04-11,organic,IN
U00115,2024-06-13,paid_ads,IN
U00116,2024-04-27,organic,IN
U00117,2024-02-06,referral,AE
U00118,2024-03-08,referral,US
U00119,2024-02-05,referral,IN
U00120,2024-03-04,paid_ads,IN
U00121,2024-05-23,paid_ads,SG
U00122,2024-05-17,referral,US
U00123,2024-03-08,organic,IN
U00124,2024-05-29,paid_ads,IN
U00125,2024-04-19,referral,IN
U00126,2024-05-29,referral,SG
U00127,2024-04-12,paid_ads,AE
U00128,2024-04-02,paid_ads,SG
U00129,2024-02-26,paid_ads,SG
U00130,2024-02-05,organic,US
U00131,2024-05-10,referral,IN
U00132,2024-05-06,referral,IN
U00133,2024-01-24,paid_ads,US
U00134,2024-01-13,paid_ads,IN
U00135,2024-01-29,social,IN
U00136,2024-02-09,organic,IN
U00137,2024-06-09,paid_ads,US
U00138,2024-02-10,organic,AE
U00139,2024-06-23,social,SG
U00140,2024-04-18,social,IN
U00141,2024-06-01,referral,IN
U00142,2024-01-17,organic,AE
U00143,2024-04-08,paid_ads,IN
U00144,2024-04-07,paid_ads,AE
U00145,2024-06-01,referral,IN
U00146,2024-04-29,referral,AE
U00147,2024-05-15,paid_ads,IN
U00148,2024-03-05,organic,SG
U00149,2024-05-21,paid_ads,IN
U00150,2024-01-03,organic,US
U00151,2024-06-23,referral,US
U00152,2024-01-30,social,IN
U00153,2024-06-23,organic,IN
U00154,2024-05-17,social,US
U00155,2024-03-09,paid_ads,US
U00156,2024-06-13,organic,IN
U00157,2024-03-28,organic,US
U00158,2024-01-29,organic,IN
U00159,2024-03-16,organic,IN
U00160,2024-04-21,organic,US
U00161,2024-02-10,paid_ads,US
U00162,2024-04-26,organic,IN
U00163,2024-01-01,referral,AE
U00164,2024-03-08,social,US
U00165,2024-05-08,organic,US
U00166,2024-02-15,social,SG
U00167,2024-05-09,referral,IN
U00168,2024-01-28,paid_ads,AE
U00169,2024-06-09,paid_ads,IN
U00170,2024-03-17,paid_ads,IN
U00171,2024-06-12,organic,IN
U00172,2024-05-09,paid_ads,IN
U00173,2024-06-04,referral,US
U00174,2024-02-20,organic,IN
U00175,2024-02-09,paid_ads,US
U00176,2024-04-05,referral,AE
U00177,2024-02-11,social,IN
U00178,2024-05-18,referral,IN
U00179,2024-05-15,paid_ads,AE
U00180,2024-01-01,organic,IN
U00181,2024-06-02,referral,AE
U00182,2024-03-23,referral,AE
U00183,2024-05-05,organic,IN
U00184,2024-01-05,social,IN
U00185,2024-01-29,paid_ads,US
U00186,2024-04-02,organic,US
U00187,2024-03-19,organic,AE
U00188,2024-03-02,social,IN
U00189,2024-01-15,paid_ads,AE
U00190,2024-03-02,referral,AE
U00191,2024-05-25,referral,IN
U00192,2024-01-21,paid_ads,IN
U00193,2024-01-22,paid_ads,AE
U00194,2024-05-04,organic,IN
U00195,2024-01-18,organic,AE
U00196,2024-05-16,organic,US
U00197,2024-02-02,paid_ads,IN
U00198,2024-02-02,social,IN
U00199,2024-06-17,organic,SG
U00200,2024-05-01,organic,IN
U00201,2024-05-20,social,IN
U00202,2024-02-12,referral,IN
U00203,2024-03-08,paid_ads,US
U00204,2024-05-15,organic,AE
U00205,2024-06-04,organic,AE
U00206,2024-04-18,paid_ads,US
U00207,2024-02-24,organic,SG
U00208,2024-05-18,referral,US
U00209,2024-06-25,paid_ads,AE
U00210,2024-02-21,referral,IN
U00211,2024-03-20,referral,US
U00212,2024-04-12,referral,US
U00213,2024-06-20,organic,IN
U00214,2024-06-15,paid_ads,IN
U00215,2024-04-05,organic,IN
U00216,2024-04-22,organic,IN
U00217,2024-05-12,organic,US
U00218,2024-04-25,social,AE
U00219,2024-01-31,paid_ads,IN
U00220,2024-03-04,referral,IN
U00221,2024-02-27,paid_ads,SG
U00222,2024-01-17,organic,IN
U00223,2024-03-27,paid_ads,IN
U00224,2024-01-06,organic,IN
U00225,2024-05-30,paid_ads,IN
U00226,2024-05-21,paid_ads,IN
U00227,2024-02-28,organic,SG
U00228,2024-05-30,paid_ads,IN
U00229,2024-02-26,social,US
U00230,2024-01-02,paid_ads,AE
U00231,2024-01-19,referral,IN
U00232,2024-06-10,paid_ads,IN
U00233,2024-01-16,organic,IN
U00234,2024-02-28,paid_ads,AE
U00235,2024-01-18,organic,SG
U00236,2024-01-09,paid_ads,US
U00237,2024-03-25,organic,IN
U00238,2024-01-19,organic,IN
U00239,2024-05-11,organic,IN
U00240,2024-03-01,organic,IN
U00241,2024-03-12,organic,US
U00242,2024-06-20,paid_ads,IN
U00243,2024-05-04,social,SG
U00244,2024-02-24,referral,IN
U00245,2024-05-18,referral,SG
U00246,2024-02-03,referral,IN
U00247,2024-05-26,organic,IN
U00248,2024-05-27,referral,IN
U00249,2024-05-01,organic,IN
U00250,2024-03-03,organic,IN
U00251,2024-05-01,paid_ads,SG
U00252,2024-04-14,organic,AE
U00253,2024-02-18,paid_ads,IN
U00254,2024-01-25,organic,SG
U00255,2024-01-25,paid_ads,IN
U00256,2024-06-17,referral,AE
U00257,2024-04-20,referral,US
U00258,2024-03-31,organic,SG
U00259,2024-04-18,paid_ads,IN
U00260,2024-04-15,paid_ads,SG
U00261,2024-04-29,organic,US
U00262,2024-01-14,social,SG
U00263,2024-06-21,referral,AE
U00264,2024-06-16,paid_ads,IN
U00265,2024-06-14,organic,IN
U00266,2024-01-26,organic,SG
U00267,2024-01-16,organic,AE
U00268,2024-04-13,paid_ads,SG
U00269,2024-03-27,paid_ads,IN
U00270,2024-01-28,paid_ads,IN
U00271,2024-03-04,organic,IN
U00272,2024-02-19,paid_ads,US
U00273,2024-02-18,organic,IN
U00274,2024-05-17,social,US
U00275,2024-04-24,social,IN
U00276,2024-02-05,social,IN
U00277,2024-04-18,paid_ads,US
U00278,2024-02-16,social,IN
U00279,2024-03-12,organic,AE
U00280,2024-04-28,social,IN
U00281,2024-03-04,organic,IN
U00282,2024-01-20,organic,IN
U00283,2024-04-23,referral,IN
U00284,2024-05-20,referral,IN
U00285,2024-01-26,referral,IN
U00286,2024-01-13,organic,IN
U00287,2024-06-15,organic,AE
U00288,2024-05-18,paid_ads,US
U00289,2024-01-04,paid_ads,US
U00290,2024-01-24,organic,SG
U00291,2024-03-01,social,AE
U00292,2024-02-12,social,IN
U00293,2024-04-14,organic,AE
U00294,2024-05-04,organic,IN
U00295,2024-05-03,paid_ads,AE
U00296,2024-02-24,organic,IN
U00297,2024-04-12,organic,IN
U00298,2024-01-16,paid_ads,IN
U00299,2024-02-12,referral,IN
U00300,2024-04-07,organic,AE
U00301,2024-01-01,paid_ads,IN
U00302,2024-04-09,social,IN
U00303,2024-03-08,referral,IN
U00304,2024-04-26,paid_ads,IN
U00305,2024-03-14,organic,IN
U00306,2024-04-18,paid_ads,IN
U00307,2024-06-27,organic,IN
U00308,2024-05-22,organic,AE
U00309,2024-06-18,referral,US
U00310,2024-05-04,social,US
U00311,2024-02-09,referral,IN
U00312,2024-02-18,paid_ads,AE
U00313,2024-03-16,organic,IN
U00314,2024-02-25,organic,IN
U00315,2024-01-15,organic,IN
U00316,2024-05-28,organic,IN
U00317,2024-05-18,referral,AE
U00318,2024-01-16,organic,SG
U00319,2024-03-21,paid_ads,SG
U00320,2024-01-15,paid_ads,AE
U00321,2024-01-13,organic,AE
U00322,2024-05-29,referral,SG
U00323,2024-05-02,paid_ads,IN
U00324,2024-05-08,social,IN
U00325,2024-05-15,organic,IN
U00326,2024-02-10,organic,SG
U00327,2024-01-15,paid_ads,AE
U00328,2024-05-10,paid_ads,SG
U00329,2024-01-21,paid_ads,IN
U00330,2024-02-17,organic,IN
U00331,2024-01-18,referral,SG
U00332,2024-06-01,paid_ads,IN
U00333,2024-01-18,organic,IN
U00334,2024-06-21,referral,IN
U00335,2024-03-01,referral,SG
U00336,2024-04-13,paid_ads,IN
U00337,2024-01-31,referral,IN
U00338,2024-05-25,organic,IN
U00339,2024-03-04,paid_ads,AE
U00340,2024-05-28,organic,US
U00341,2024-06-01,organic,US
U00342,2024-01-11,paid_ads,IN
U00343,2024-06-07,social,AE
U00344,2024-01-21,organic,AE
U00345,2024-04-17,paid_ads,IN
U00346,2024-06-17,paid_ads,US
U00347,2024-05-29,paid_ads,US
U00348,2024-05-24,social,IN
U00349,2024-05-13,paid_ads,US
U00350,2024-03-21,paid_ads,IN
U00351,2024-03-07,paid_ads,IN
U00352,2024-02-22,referral,SG
U00353,2024-06-20,paid_ads,US
U00354,2024-03-21,organic,SG
U00355,2024-03-02,organic,SG
U00356,2024-03-08,organic,IN
U00357,2024-04-11,social,IN
U00358,2024-02-03,referral,IN
U00359,2024-06-20,paid_ads,IN
U00360,2024-06-14,organic,AE
U00361,2024-03-17,referral,IN
U00362,2024-04-27,social,IN
U00363,2024-03-21,referral,IN
U00364,2024-01-19,social,IN
U00365,2024-01-03,organic,AE
U00366,2024-04-27,referral,IN
U00367,2024-06-08,organic,SG
U00368,2024-05-24,referral,SG
U00369,2024-01-26,organic,IN
U00370,2024-01-19,organic,IN
U00371,2024-05-17,social,SG
U00372,2024-02-24,social,US
U00373,2024-05-09,paid_ads,AE
U00374,2024-03-08,paid_ads,IN
U00375,2024-02-03,organic,IN
U00376,2024-03-30,organic,IN
U00377,2024-01-18,referral,SG
U00378,2024-03-03,referral,IN
U00379,2024-04-04,social,US
U00380,2024-03-13,organic,IN
U00381,2024-02-10,paid_ads,SG
U00382,2024-04-22,social,US
U00383,2024-05-19,organic,IN
U00384,2024-06-29,paid_ads,IN
U00385,2024-03-18,organic,IN
U00386,2024-06-05,organic,US
U00387,2024-06-16,organic,IN
U00388,2024-05-15,paid_ads,US
U00389,2024-01-03,referral,IN
U00390,2024-06-19,paid_ads,IN
U00391,2024-05-21,referral,IN
U00392,2024-03-17,social,IN
U00393,2024-06-18,social,IN
U00394,2024-01-27,organic,SG
U00395,2024-02-04,paid_ads,IN
U00396,2024-03-08,organic,SG
U00397,2024-01-30,social,IN
U00398,2024-01-28,paid_ads,IN
U00399,2024-05-21,organic,US
U00400,2024-02-09,paid_ads,AE
U00401,2024-03-10,referral,IN
U00402,2024-03-13,referral,SG
U00403,2024-06-03,referral,IN
U00404,2024-02-23,referral,US
U00405,2024-03-28,referral,IN
U00406,2024-02-22,social,IN
U00407,2024-06-24,organic,IN
U00408,2024-06-11,organic,US
U00409,2024-03-08,social,US
U00410,2024-05-09,organic,IN
U00411,2024-05-05,referral,IN
U00412,2024-03-05,paid_ads,IN
U00413,2024-01-14,organic,IN
U00414,2024-01-24,paid_ads,AE
U00415,2024-06-11,social,IN
U00416,2024-04-18,organic,SG
U00417,2024-03-11,social,IN
U00418,2024-01-12,referral,US
U00419,2024-01-01,organic,IN
U00420,2024-03-26,referral,IN
U00421,2024-02-03,organic,AE
U00422,2024-06-12,organic,IN
U00423,2024-03-08,organic,IN
U00424,2024-02-11,paid_ads,IN
U00425,2024-04-23,paid_ads,AE
U00426,2024-05-21,paid_ads,SG
U00427,2024-06-29,referral,IN
U00428,2024-04-19,organic,IN
U00429,2024-05-23,organic,IN
U00430,2024-01-03,paid_ads,SG
U00431,2024-01-29,referral,AE
U00432,2024-01-20,referral,US
U00433,2024-06-25,paid_ads,IN
U00434,2024-02-08,referral,US
U00435,2024-05-19,organic,IN
U00436,2024-01-10,organic,US
U00437,2024-04-04,referral,IN
U00438,2024-05-29,organic,IN
U00439,2024-05-21,referral,IN
U00440,2024-02-07,social,IN
U00441,2024-04-20,organic,IN
U00442,2024-02-02,organic,IN
U00443,2024-01-11,social,IN
U00444,2024-03-19,referral,IN
U00445,2024-04-03,referral,SG
U00446,2024-01-11,social,IN
U00447,2024-04-01,paid_ads,IN
U00448,2024-02-23,social,IN
U00449,2024-06-23,paid_ads,IN
U00450,2024-03-04,paid_ads,IN
U00451,2024-06-19,social,IN
U00452,2024-01-27,organic,AE
U00453,2024-03-31,paid_ads,IN
U00454,2024-05-23,referral,IN
U00455,2024-04-14,referral,AE
U00456,2024-06-07,organic,IN
U00457,2024-02-09,referral,IN
U00458,2024-03-01,organic,US
U00459,2024-02-11,referral,IN
U00460,2024-02-15,paid_ads,AE
U00461,2024-04-15,paid_ads,IN
U00462,2024-01-07,referral,IN
U00463,2024-02-15,organic,IN
U00464,2024-03-26,paid_ads,IN
U00465,2024-04-15,social,AE
U00466,2024-06-20,referral,SG
U00467,2024-03-04,organic,AE
U00468,2024-03-09,referral,US
U00469,2024-02-10,organic,IN
U00470,2024-06-28,organic,IN
U00471,2024-01-28,referral,IN
U00472,2024-04-07,social,IN
U00473,2024-01-10,paid_ads,US
U00474,2024-04-30,paid_ads,IN
U00475,2024-02-26,paid_ads,AE
U00476,2024-02-21,organic,US
U00477,2024-04-27,social,US
U00478,2024-03-30,referral,SG
U00479,2024-03-19,social,IN
U00480,2024-02-28,referral,SG
U00481,2024-02-27,paid_ads,IN
U00482,2024-01-07,organic,AE
U00483,2024-06-17,paid_ads,IN
U00484,2024-02-19,social,IN
U00485,2024-04-12,referral,US
U00486,2024-03-25,organic,IN
U00487,2024-03-12,social,US
U00488,2024-01-18,paid_ads,AE
U00489,2024-03-12,referral,IN
U00490,2024-03-30,referral,IN
U00491,2024-06-13,social,US
U00492,2024-05-10,paid_ads,IN
U00493,2024-04-12,referral,SG
U00494,2024-06-22,social,AE
U00495,2024-05-17,referral,US
U00496,2024-03-25,paid_ads,AE
U00497,2024-01-08,referral,US
U00498,2024-01-30,paid_ads,US
U00499,2024-03-07,social,SG
U00500,2024-02-15,paid_ads,IN
U00501,2024-05-28,referral,IN
U00502,2024-03-08,referral,IN
U00503,2024-01-10,organic,US
U00504,2024-01-28,paid_ads,AE
U00505,2024-06-01,social,IN
U00506,2024-04-21,organic,SG
U00507,2024-03-29,referral,US
U00508,2024-03-21,referral,IN
U00509,2024-04-21,organic,AE
U00510,2024-06-04,organic,US
U00511,2024-05-10,paid_ads,AE
U00512,2024-01-30,organic,US
U00513,2024-04-08,referral,AE
U00514,2024-05-27,referral,IN
U00515,2024-02-18,referral,IN
U00516,2024-03-06,organic,SG
U00517,2024-01-12,paid_ads,IN
U00518,2024-04-21,referral,AE
U00519,2024-01-01,organic,SG
U00520,2024-05-13,referral,AE
U00521,2024-05-17,referral,IN
U00522,2024-06-24,organic,IN
U00523,2024-06-20,referral,IN
U00524,2024-02-20,referral,IN
U00525,2024-04-03,paid_ads,IN
U00526,2024-04-20,social,US
U00527,2024-01-18,referral,IN
U00528,2024-06-19,organic,IN
U00529,2024-03-25,referral,SG
U00530,2024-06-08,referral,IN
U00531,2024-03-21,organic,AE
U00532,2024-06-18,referral,AE
U00533,2024-02-01,referral,SG
U00534,2024-03-17,social,IN
U00535,2024-05-09,referral,AE
U00536,2024-03-20,paid_ads,AE
U00537,2024-06-19,referral,AE
U00538,2024-04-14,organic,IN
U00539,2024-03-24,social,IN
U00540,2024-04-13,organic,IN
U00541,2024-06-27,organic,IN
U00542,2024-03-16,paid_ads,US
U00543,2024-05-21,social,US
U00544,2024-02-02,organic,IN
U00545,2024-02-19,referral,US
U00546,2024-04-17,paid_ads,US
U00547,2024-06-19,paid_ads,IN
U00548,2024-04-07,paid_ads,IN
U00549,2024-06-22,paid_ads,IN
U00550,2024-02-14,organic,IN
U00551,2024-06-06,referral,AE
U00552,2024-05-25,paid_ads,AE
U00553,2024-03-18,paid_ads,IN
U00554,2024-04-13,paid_ads,AE
U00555,2024-05-20,referral,IN
U00556,2024-01-01,paid_ads,SG
U00557,2024-03-18,organic,US
U00558,2024-03-14,organic,US
U00559,2024-02-23,referral,IN
U00560,2024-04-20,paid_ads,IN
U00561,2024-05-28,paid_ads,IN
U00562,2024-06-04,social,US
U00563,2024-06-16,referral,AE
U00564,2024-03-23,paid_ads,IN
U00565,2024-04-29,organic,AE
U00566,2024-04-23,social,US
U00567,2024-04-23,organic,IN
U00568,2024-06-21,paid_ads,IN
U00569,2024-02-24,organic,US
U00570,2024-05-10,referral,SG
U00571,2024-05-01,organic,IN
U00572,2024-02-13,social,IN
U00573,2024-06-17,social,IN
U00574,2024-01-22,referral,AE
U00575,2024-03-13,organic,IN
U00576,2024-05-11,paid_ads,IN
U00577,2024-06-18,referral,IN
U00578,2024-06-11,paid_ads,IN
U00579,2024-06-07,paid_ads,IN
U00580,2024-03-26,paid_ads,US
U00581,2024-01-24,referral,IN
U00582,2024-03-01,paid_ads,SG
U00583,2024-06-21,social,IN
U00584,2024-03-20,organic,IN
U00585,2024-02-27,organic,US
U00586,2024-02-20,referral,AE
U00587,2024-02-07,paid_ads,IN
U00588,2024-01-07,referral,IN
U00589,2024-01-12,organic,US
U00590,2024-03-03,organic,AE
U00591,2024-05-01,paid_ads,SG
U00592,2024-06-05,social,IN
U00593,2024-01-19,referral,SG
U00594,2024-04-26,paid_ads,SG
U00595,2024-04-16,referral,AE
U00596,2024-06-10,referral,IN
U00597,2024-05-27,organic,IN
U00598,2024-02-19,paid_ads,IN
U00599,2024-06-27,organic,SG
U00600,2024-04-08,social,IN
U00601,2024-05-06,referral,IN
U00602,2024-04-12,referral,IN
U00603,2024-03-03,organic,IN
U00604,2024-02-07,organic,IN
U00605,2024-06-16,referral,IN
U00606,2024-06-25,referral,AE
U00607,2024-01-02,referral,IN
U00608,2024-01-28,organic,IN
U00609,2024-04-18,organic,IN
U00610,2024-02-26,referral,AE
U00611,2024-02-15,organic,IN
U00612,2024-06-27,referral,IN
U00613,2024-05-12,paid_ads,AE
U00614,2024-04-28,organic,IN
U00615,2024-01-13,referral,AE
U00616,2024-05-22,referral,IN
U00617,2024-03-04,referral,IN
U00618,2024-02-01,organic,AE
U00619,2024-04-26,organic,IN
U00620,2024-02-04,paid_ads,US
U00621,2024-04-28,paid_ads,SG
U00622,2024-06-19,social,AE
U00623,2024-05-15,social,IN
U00624,2024-05-23,referral,AE
U00625,2024-06-01,organic,US
U00626,2024-03-22,referral,SG
U00627,2024-04-23,paid_ads,US
U00628,2024-06-05,organic,AE
U00629,2024-05-09,paid_ads,IN
U00630,2024-04-19,paid_ads,SG
U00631,2024-05-20,referral,US
U00632,2024-04-24,referral,IN
U00633,2024-02-10,referral,US
U00634,2024-05-01,paid_ads,SG
U00635,2024-04-25,organic,SG
U00636,2024-03-07,organic,SG
U00637,2024-03-04,referral,SG
U00638,2024-06-12,paid_ads,IN
U00639,2024-03-11,organic,AE
U00640,2024-05-13,referral,AE
U00641,2024-05-04,organic,IN
U00642,2024-06-09,organic,IN
U00643,2024-03-02,organic,SG
U00644,2024-03-11,referral,US
U00645,2024-04-22,organic,IN
U00646,2024-01-20,paid_ads,SG
U00647,2024-03-14,social,AE
U00648,2024-03-01,organic,AE
U00649,2024-03-10,paid_ads,AE
U00650,2024-03-26,organic,US
U00651,2024-03-22,organic,US
U00652,2024-05-18,organic,US
U00653,2024-01-21,organic,IN
U00654,2024-02-05,paid_ads,SG
U00655,2024-02-08,paid_ads,IN
U00656,2024-02-29,referral,US
U00657,2024-04-08,paid_ads,SG
U00658,2024-06-26,organic,US
U00659,2024-02-09,organic,IN
U00660,2024-06-29,social,IN
U00661,2024-02-24,referral,IN
U00662,2024-01-17,organic,US
U00663,2024-04-16,social,AE
U00664,2024-04-14,social,IN
U00665,2024-03-25,paid_ads,IN
U00666,2024-05-18,referral,IN
U00667,2024-04-29,organic,IN
U00668,2024-04-16,social,SG
U00669,2024-01-16,social,IN
U00670,2024-02-22,referral,IN
U00671,2024-04-17,organic,AE
U00672,2024-04-09,organic,IN
U00673,2024-05-29,paid_ads,IN
U00674,2024-06-27,referral,SG
U00675,2024-01-06,referral,IN
U00676,2024-05-27,paid_ads,AE
U00677,2024-04-07,organic,IN
U00678,2024-05-02,referral,AE
U00679,2024-01-02,referral,IN
U00680,2024-03-31,social,IN
U00681,2024-03-17,organic,US
U00682,2024-04-09,organic,IN
U00683,2024-04-17,social,IN
U00684,2024-05-17,paid_ads,IN
U00685,2024-05-19,referral,US
U00686,2024-06-03,organic,US
U00687,2024-02-26,referral,US
U00688,2024-05-04,organic,SG
U00689,2024-02-26,organic,AE
U00690,2024-03-10,paid_ads,AE
U00691,2024-04-21,referral,IN
U00692,2024-05-04,organic,IN
U00693,2024-01-08,referral,SG
U00694,2024-04-09,social,IN
U00695,2024-03-27,organic,IN
U00696,2024-06-20,organic,AE
U00697,2024-06-22,organic,IN
U00698,2024-04-13,social,SG
U00699,2024-02-12,organic,US
U00700,2024-04-29,organic,US
U00701,2024-02-02,referral,US
U00702,2024-06-08,referral,US
U00703,2024-05-16,paid_ads,SG
U00704,2024-01-07,referral,US
U00705,2024-04-10,referral,AE
U00706,2024-05-31,referral,IN
U00707,2024-05-24,referral,SG
U00708,2024-06-18,social,US
U00709,2024-01-07,paid_ads,IN
U00710,2024-01-22,paid_ads,AE
U00711,2024-06-13,paid_ads,AE
U00712,2024-04-19,paid_ads,IN
U00713,2024-02-04,referral,SG
U00714,2024-04-28,social,IN
U00715,2024-02-16,organic,AE
U00716,2024-01-13,paid_ads,US
U00717,2024-03-07,paid_ads,SG
U00718,2024-04-07,referral,IN
U00719,2024-03-24,organic,AE
U00720,2024-02-24,referral,SG
U00721,2024-04-26,organic,US
U00722,2024-03-24,social,IN
U00723,2024-03-27,paid_ads,US
U00724,2024-04-07,referral,IN
U00725,2024-03-12,organic,AE
U00726,2024-04-17,referral,AE
U00727,2024-03-05,organic,US
U00728,2024-01-21,social,IN
U00729,2024-04-30,organic,AE
U00730,2024-01-05,organic,IN
U00731,2024-05-18,organic,IN
U00732,2024-01-14,organic,SG
U00733,2024-03-30,organic,SG
U00734,2024-02-27,paid_ads,US
U00735,2024-06-15,organic,SG
U00736,2024-01-18,paid_ads,IN
U00737,2024-06-15,organic,IN
U00738,2024-01-11,referral,US
U00739,2024-01-08,referral,IN
U00740,2024-03-04,paid_ads,US
U00741,2024-02-21,organic,IN
U00742,2024-01-06,referral,US
U00743,2024-06-08,referral,IN
U00744,2024-02-09,paid_ads,IN
U00745,2024-03-02,paid_ads,AE
U00746,2024-02-02,referral,IN
U00747,2024-05-01,paid_ads,AE
U00748,2024-06-20,referral,IN
U00749,2024-01-30,social,SG
U00750,2024-05-24,organic,IN
U00751,2024-02-25,organic,IN
U00752,2024-04-29,referral,IN
U00753,2024-06-28,paid_ads,IN
U00754,2024-03-06,referral,SG
U00755,2024-04-04,organic,IN
U00756,2024-02-12,paid_ads,IN
U00757,2024-06-04,referral,US
U00758,2024-06-04,social,IN
U00759,2024-01-30,social,SG
U00760,2024-02-11,paid_ads,AE
U00761,2024-03-20,social,SG
U00762,2024-01-28,referral,IN
U00763,2024-05-28,paid_ads,IN
U00764,2024-01-07,referral,IN
U00765,2024-03-20,social,IN
U00766,2024-05-27,organic,IN
U00767,2024-06-22,organic,SG
U00768,2024-04-06,organic,IN
U00769,2024-04-11,paid_ads,US
U00770,2024-02-20,paid_ads,US
U00771,2024-01-20,paid_ads,AE
U00772,2024-05-31,referral,US
U00773,2024-06-25,social,IN
U00774,2024-06-09,paid_ads,SG
U00775,2024-03-03,social,AE
U00776,2024-01-27,paid_ads,US
U00777,2024-06-27,referral,SG
U00778,2024-03-18,referral,IN
U00779,2024-06-24,organic,US
U00780,2024-06-02,social,IN
U00781,2024-01-31,organic,IN
U00782,2024-05-24,organic,SG
U00783,2024-01-11,organic,SG
U00784,2024-03-29,paid_ads,SG
U00785,2024-05-16,paid_ads,IN
U00786,2024-04-19,organic,IN
U00787,2024-06-18,referral,IN
U00788,2024-04-04,organic,IN
U00789,2024-01-18,social,IN
U00790,2024-05-09,referral,IN
U00791,2024-06-14,organic,AE
U00792,2024-03-28,paid_ads,AE
U00793,2024-01-04,referral,IN
U00794,2024-04-17,social,AE
U00795,2024-05-05,organic,IN
U00796,2024-01-28,paid_ads,IN
