txn_id,user_id,amount,txn_timestamp,hour_of_day,status
T000108,U00087,6892.46,2024-06-22 15:00:00,15,success
T000109,U00087,2140.67,2024-06-16 15:00:00,15,success
T000110,U00090,4756.14,2024-03-05 07:00:00,7,success
T000111,U00090,6555.62,2024-03-12 07:00:00,7,success
T000112,U00090,3661.89,2024-03-15 07:00:00,7,failed
T000113,U00090,4320.13,2024-03-26 07:00:00,7,success
T000114,U00090,3856.18,2024-03-09 07:00:00,7,success
T000115,U00090,2736.11,2024-03-15 07:00:00,7,failed
T000116,U00090,1750.61,2024-04-16 07:00:00,7,success
T000117,U00090,4603.58,2024-04-30 07:00:00,7,success
T000118,U00094,2778.12,2024-03-14 03:00:00,3,success
T000119,U00094,2409.55,2024-03-16 03:00:00,3,failed
T000120,U00094,2717.73,2024-04-03 03:00:00,3,success
T000121,U00094,1886.91,2024-03-26 03:00:00,3,success
T000122,U00094,6111.77,2024-03-18 03:00:00,3,success
T000123,U00094,2388.11,2024-04-28 03:00:00,3,failed
T000124,U00094,2232.66,2024-03-26 03:00:00,3,success
T000125,U00095,4160.07,2024-06-15 23:00:00,23,success
T000126,U00095,5998.4,2024-06-18 23:00:00,23,success
T000127,U00095,1747.35,2024-06-19 23:00:00,23,success
T000128,U00095,4629.89,2024-07-12 23:00:00,23,success
T000129,U00095,3012.3,2024-07-21 23:00:00,23,success
T000130,U00095,4337.95,2024-07-10 23:00:00,23,success
T000131,U00095,4634.48,2024-06-27 23:00:00,23,success
T000132,U00096,2540.88,2024-06-28 23:00:00,23,success
T000133,U00097,4967.54,2024-05-24 21:00:00,21,success
T000134,U00098,5193.55,2024-02-28 00:00:00,0,success
T000135,U00098,6364.97,2024-03-04 00:00:00,0,success
T000136,U00098,4262.56,2024-03-17 00:00:00,0,pending
T000137,U00098,1054.66,2024-03-02 00:00:00,0,success
T000138,U00099,5172.91,2024-06-26 03:00:00,3,success
T000139,U00099,510.2,2024-07-01 03:00:00,3,success
T000140,U00099,3500.75,2024-07-06 03:00:00,3,success
T000141,U00099,6127.15,2024-07-05 03:00:00,3,success
T000142,U00099,5585.66,2024-07-24 03:00:00,3,success
T000143,U00099,3129.41,2024-08-15 03:00:00,3,success
T000144,U00099,4239.44,2024-07-14 03:00:00,3,success
T000145,U00099,1874.77,2024-08-07 03:00:00,3,success
T000146,U00100,1663.8,2024-03-26 11:00:00,11,success
T000147,U00103,3196.44,2024-01-11 02:00:00,2,failed
T000148,U00103,6071.99,2024-01-17 02:00:00,2,failed
T000149,U00103,4156.02,2024-01-27 02:00:00,2,success
T000150,U00103,2504.1,2024-01-29 02:00:00,2,failed
T000151,U00103,2576.49,2024-02-16 02:00:00,2,success
T000152,U00106,6714.92,2024-03-10 22:00:00,22,success
T000153,U00110,4277.78,2024-03-23 09:00:00,9,success
T000154,U00111,5197.87,2024-02-26 16:00:00,16,success
T000155,U00111,2730.04,2024-03-04 16:00:00,16,success
T000156,U00111,3228.2,2024-03-09 16:00:00,16,success
T000157,U00111,4677.74,2024-03-03 16:00:00,16,success
T000158,U00111,6525.76,2024-03-17 16:00:00,16,success
T000159,U00111,1461.78,2024-03-02 16:00:00,16,failed
T000160,U00114,2591.82,2024-04-14 14:00:00,14,success
T000161,U00114,4957.76,2024-04-15 14:00:00,14,failed
T000162,U00114,3807.42,2024-05-04 14:00:00,14,success
T000163,U00114,3835.8,2024-05-08 14:00:00,14,success
T000164,U00114,3924.84,2024-05-12 14:00:00,14,success
T000165,U00115,5240.41,2024-06-15 00:00:00,0,failed
T000166,U00115,4150.88,2024-06-20 00:00:00,0,success
T000167,U00115,1109.72,2024-06-29 00:00:00,0,success
T000168,U00115,5350.93,2024-07-09 00:00:00,0,success
T000169,U00115,6899.32,2024-06-23 00:00:00,0,success
T000170,U00115,2646.58,2024-06-25 00:00:00,0,success
T000171,U00115,3336.81,2024-08-02 00:00:00,0,success
T000172,U00122,2805.68,2024-05-20 13:00:00,13,pending
T000173,U00122,2461.27,2024-05-21 13:00:00,13,success
T000174,U00122,5711.9,2024-05-24 13:00:00,13,success
T000175,U00122,1107.4,2024-05-29 13:00:00,13,success
T000176,U00122,2620.69,2024-06-29 13:00:00,13,success
T000177,U00130,5556.05,2024-02-07 01:00:00,1,success
T000178,U00131,3443.19,2024-05-12 12:00:00,12,pending
T000179,U00133,5336.07,2024-01-26 13:00:00,13,success
T000180,U00133,3433.68,2024-01-29 13:00:00,13,success
T000181,U00133,1748.93,2024-02-09 13:00:00,13,success
T000182,U00133,2752.61,2024-02-04 13:00:00,13,success
T000183,U00141,3494.88,2024-06-04 07:00:00,7,success
T000184,U00146,6848.79,2024-05-02 20:00:00,20,success
T000185,U00146,3554.43,2024-05-08 20:00:00,20,success
T000186,U00152,2496.12,2024-01-31 16:00:00,16,success
T000187,U00152,2948.46,2024-02-09 16:00:00,16,success
T000188,U00152,1918.86,2024-02-06 16:00:00,16,success
T000189,U00159,4918.0,2024-03-19 15:00:00,15,success
T000190,U00159,2180.67,2024-03-22 15:00:00,15,success
T000191,U00165,4090.3,2024-05-09 12:00:00,12,success
T000192,U00169,4943.87,2024-06-11 06:00:00,6,success
T000193,U00169,3451.1,2024-06-20 06:00:00,6,failed
T000194,U00169,3185.16,2024-06-23 06:00:00,6,success
T000195,U00171,2675.94,2024-06-16 22:00:00,22,success
T000196,U00173,2878.78,2024-06-05 17:00:00,17,success
T000197,U00173,4781.64,2024-06-13 17:00:00,17,success
T000198,U00173,2134.54,2024-06-21 17:00:00,17,success
T000199,U00173,2844.42,2024-06-17 17:00:00,17,success
T000200,U00173,6869.32,2024-06-21 17:00:00,17,success
T000201,U00176,2382.84,2024-04-08 19:00:00,19,success
T000202,U00177,4038.75,2024-02-11 22:00:00,22,success
T000203,U00177,4633.8,2024-02-13 22:00:00,22,success
T000204,U00177,1405.59,2024-02-17 22:00:00,22,failed
T000205,U00177,5508.75,2024-03-03 22:00:00,22,success
T000206,U00177,1184.75,2024-03-10 22:00:00,22,success
T000207,U00177,5551.13,2024-03-17 22:00:00,22,success
T000208,U00177,1503.29,2024-02-29 22:00:00,22,success
T000209,U00177,6388.57,2024-03-17 22:00:00,22,success
T000210,U00179,2795.26,2024-05-19 10:00:00,10,pending
T000211,U00181,2399.56,2024-06-05 18:00:00,18,success
T000212,U00181,4372.01,2024-06-08 18:00:00,18,success
T000213,U00184,4217.73,2024-01-06 21:00:00,21,success
T000214,U00187,4853.47,2024-03-20 17:00:00,17,success
T000215,U00188,3939.39,2024-03-04 09:00:00,9,success
T000216,U00188,4524.09,2024-03-06 09:00:00,9,success
T000217,U00188,3206.63,2024-03-20 09:00:00,9,success
T000218,U00188,581.53,2024-03-07 09:00:00,9,success
T000219,U00188,553.64,2024-04-13 09:00:00,9,success
T000220,U00191,1704.97,2024-05-29 07:00:00,7,success
T000221,U00191,613.23,2024-06-03 07:00:00,7,pending
T000222,U00191,1005.38,2024-06-16 07:00:00,7,success
T000223,U00191,6879.85,2024-06-01 07:00:00,7,success
T000224,U00191,2831.96,2024-06-22 07:00:00,7,success
T000225,U00191,3160.89,2024-07-03 07:00:00,7,success
T000226,U00194,4998.43,2024-05-06 15:00:00,15,success
T000227,U00194,2381.09,2024-05-13 15:00:00,15,failed
T000228,U00194,6722.86,2024-05-10 15:00:00,15,success
T000229,U00196,5925.6,2024-05-18 19:00:00,19,success
T000230,U00196,3886.04,2024-05-21 19:00:00,19,success
T000231,U00196,4265.69,2024-05-30 19:00:00,19,success
T000232,U00196,5597.15,2024-06-08 19:00:00,19,success
T000233,U00196,4617.93,2024-06-07 19:00:00,19,success
T000234,U00197,4384.16,2024-02-04 23:00:00,23,success
T000235,U00197,4472.56,2024-02-10 23:00:00,23,success
T000236,U00197,728.35,2024-02-18 23:00:00,23,success
T000237,U00197,2241.56,2024-02-07 23:00:00,23,success
T000238,U00197,5394.05,2024-02-24 23:00:00,23,success
T000239,U00197,3821.25,2024-03-05 23:00:00,23,failed
T000240,U00197,5481.78,2024-02-16 23:00:00,23,success
T000241,U00197,6058.91,2024-03-31 23:00:00,23,failed
T000242,U00199,2498.08,2024-06-19 13:00:00,13,success
T000243,U00199,1864.43,2024-06-25 13:00:00,13,failed
T000244,U00199,2282.42,2024-07-09 13:00:00,13,success
T000245,U00199,948.63,2024-07-10 13:00:00,13,success
T000246,U00199,1355.14,2024-07-29 13:00:00,13,failed
T000247,U00199,603.35,2024-07-04 13:00:00,13,pending
T000248,U00199,4905.44,2024-07-19 13:00:00,13,success
T000249,U00200,2304.44,2024-05-03 19:00:00,19,failed
T000250,U00200,1322.05,2024-05-10 19:00:00,19,success
T000251,U00200,2993.67,2024-05-23 19:00:00,19,success
T000252,U00200,3787.05,2024-05-21 19:00:00,19,success
T000253,U00200,1446.99,2024-05-31 19:00:00,19,success
T000254,U00207,1400.35,2024-02-27 13:00:00,13,success
T000255,U00207,2160.47,2024-02-28 13:00:00,13,success
T000256,U00207,3538.98,2024-03-08 13:00:00,13,success
T000257,U00207,4138.07,2024-03-25 13:00:00,13,success
T000258,U00207,3430.23,2024-04-07 13:00:00,13,success
T000259,U00207,1300.01,2024-04-02 13:00:00,13,success
T000260,U00207,1139.32,2024-04-27 13:00:00,13,success
T000261,U00210,3310.2,2024-02-25 00:00:00,0,success
T000262,U00210,1538.13,2024-02-28 00:00:00,0,success
T000263,U00210,5359.04,2024-03-14 00:00:00,0,success
T000264,U00210,3356.51,2024-03-14 00:00:00,0,success
T000265,U00210,4005.86,2024-04-01 00:00:00,0,success
T000266,U00210,579.87,2024-03-11 00:00:00,0,success
T000267,U00210,6830.91,2024-04-13 00:00:00,0,success
T000268,U00211,2985.98,2024-03-23 20:00:00,20,failed
T000269,U00211,5418.07,2024-03-26 20:00:00,20,success
T000270,U00211,2503.46,2024-04-12 20:00:00,20,success
T000271,U00211,4901.76,2024-04-10 20:00:00,20,success
T000272,U00211,5088.06,2024-04-12 20:00:00,20,success
T000273,U00211,5380.8,2024-03-28 20:00:00,20,success
T000274,U00212,2440.33,2024-04-13 03:00:00,3,success
T000275,U00212,4355.35,2024-04-20 03:00:00,3,success
T000276,U00212,2688.59,2024-04-27 03:00:00,3,success
T000277,U00213,4769.17,2024-06-22 18:00:00,18,success
T000278,U00213,5188.31,2024-06-23 18:00:00,18,success
T000279,U00213,2560.24,2024-06-24 18:00:00,18,success
T000280,U00213,2277.03,2024-07-19 18:00:00,18,success
T000281,U00213,1792.53,2024-07-28 18:00:00,18,success
T000282,U00223,2511.34,2024-03-30 03:00:00,3,success
T000283,U00228,3399.58,2024-06-02 17:00:00,17,success
T000284,U00228,2744.37,2024-06-07 17:00:00,17,success
T000285,U00228,2361.17,2024-06-22 17:00:00,17,success
T000286,U00228,3964.83,2024-06-26 17:00:00,17,success
T000287,U00228,4949.05,2024-06-22 17:00:00,17,success
T000288,U00228,2845.25,2024-06-12 17:00:00,17,success
T000289,U00228,6594.81,2024-06-20 17:00:00,17,success
T000290,U00228,656.8,2024-07-07 17:00:00,17,success
T000291,U00232,3120.96,2024-06-12 11:00:00,11,success
T000292,U00234,4244.83,2024-03-02 06:00:00,6,success
T000293,U00234,571.17,2024-03-05 06:00:00,6,success
T000294,U00234,4550.97,2024-03-12 06:00:00,6,success
T000295,U00234,1609.63,2024-04-01 06:00:00,6,success
T000296,U00234,5442.74,2024-04-11 06:00:00,6,success
T000297,U00234,4784.81,2024-04-06 06:00:00,6,success
T000298,U00234,2844.1,2024-05-01 06:00:00,6,success
T000299,U00234,6832.1,2024-03-09 06:00:00,6,success
T000300,U00243,3707.1,2024-05-08 04:00:00,4,success
T000301,U00243,1804.15,2024-05-16 04:00:00,4,success
T000302,U00243,2864.03,2024-05-24 04:00:00,4,success
T000303,U00243,3062.78,2024-06-04 04:00:00,4,success
T000304,U00243,3858.32,2024-05-24 04:00:00,4,success
T000305,U00245,1965.06,2024-05-21 13:00:00,13,success
T000306,U00246,6862.29,2024-02-04 21:00:00,21,success
T000307,U00246,1423.03,2024-02-06 21:00:00,21,success
T000308,U00246,1789.37,2024-02-20 21:00:00,21,failed
T000309,U00246,6755.77,2024-02-22 21:00:00,21,success
T000310,U00246,2468.94,2024-03-15 21:00:00,21,success
T000311,U00246,4296.97,2024-03-15 21:00:00,21,success
T000312,U00246,3882.64,2024-02-28 21:00:00,21,success
T000313,U00246,6265.05,2024-03-24 21:00:00,21,success
T000314,U00248,4450.36,2024-05-30 16:00:00,16,success
T000315,U00248,3715.75,2024-06-09 16:00:00,16,success
T000316,U00248,4074.34,2024-06-05 16:00:00,16,success
T000317,U00248,1054.96,2024-06-26 16:00:00,16,success
T000318,U00248,1300.58,2024-06-07 16:00:00,16,success
T000319,U00248,2278.01,2024-07-04 16:00:00,16,success
T000320,U00248,3137.78,2024-07-05 16:00:00,16,success
T000321,U00248,3925.19,2024-08-08 16:00:00,16,success
T000322,U00249,1318.38,2024-05-03 23:00:00,23,success
T000323,U00249,4881.94,2024-05-04 23:00:00,23,success
T000324,U00249,4676.32,2024-05-13 23:00:00,23,success
T000325,U00249,6371.33,2024-05-27 23:00:00,23,success
T000326,U00249,3747.76,2024-05-15 23:00:00,23,success
T000327,U00252,3743.13,2024-04-17 15:00:00,15,success
T000328,U00252,3666.97,2024-04-24 15:00:00,15,success
T000329,U00252,1392.69,2024-04-27 15:00:00,15,success
T000330,U00252,1483.07,2024-05-05 15:00:00,15,success
T000331,U00252,4810.97,2024-05-11 15:00:00,15,success
T000332,U00252,6640.95,2024-05-12 15:00:00,15,success
T000333,U00252,3539.81,2024-05-29 15:00:00,15,success
T000334,U00258,2039.86,2024-04-01 19:00:00,19,failed
T000335,U00258,3144.42,2024-04-04 19:00:00,19,success
T000336,U00258,4051.8,2024-04-13 19:00:00,19,success
T000337,U00258,2002.95,2024-04-04 19:00:00,19,success
T000338,U00258,5165.81,2024-04-21 19:00:00,19,success
T000339,U00261,3662.97,2024-05-02 11:00:00,11,success
T000340,U00261,634.31,2024-05-05 11:00:00,11,success
T000341,U00261,4960.78,2024-05-06 11:00:00,11,success
T000342,U00261,4984.02,2024-05-26 11:00:00,11,success
T000343,U00261,2738.91,2024-05-30 11:00:00,11,success
T000344,U00261,6021.51,2024-06-11 11:00:00,11,failed
T000345,U00262,6595.12,2024-01-18 14:00:00,14,success
T000346,U00262,3366.13,2024-01-22 14:00:00,14,success
T000347,U00265,5630.6,2024-06-15 22:00:00,22,success
T000348,U00268,5470.16,2024-04-14 16:00:00,16,success
T000349,U00269,1609.77,2024-03-28 14:00:00,14,success
T000350,U00270,5284.18,2024-01-28 22:00:00,22,failed
T000351,U00270,2003.35,2024-02-05 22:00:00,22,success
T000352,U00270,6808.39,2024-02-13 22:00:00,22,success
T000353,U00270,4865.47,2024-01-31 22:00:00,22,success
T000354,U00270,4810.49,2024-02-13 22:00:00,22,success
T000355,U00270,5999.17,2024-03-08 22:00:00,22,success
T000356,U00282,4843.11,2024-01-21 15:00:00,15,success
T000357,U00282,4539.18,2024-01-28 15:00:00,15,success
T000358,U00282,3250.77,2024-02-10 15:00:00,15,failed
T000359,U00282,2276.87,2024-01-27 15:00:00,15,success
T000360,U00282,5097.63,2024-02-22 15:00:00,15,success
T000361,U00282,672.12,2024-03-11 15:00:00,15,success
T000362,U00282,2269.62,2024-03-21 15:00:00,15,pending
T000363,U00285,6992.67,2024-01-28 20:00:00,20,success
T000364,U00287,1614.09,2024-06-16 11:00:00,11,failed
T000365,U00291,1186.49,2024-03-02 03:00:00,3,success
T000366,U00294,3834.35,2024-05-07 09:00:00,9,pending
T000367,U00294,4276.74,2024-05-08 09:00:00,9,success
T000368,U00294,4820.43,2024-05-11 09:00:00,9,success
T000369,U00294,3595.22,2024-05-19 09:00:00,9,success
T000370,U00294,2142.01,2024-05-23 09:00:00,9,success
T000371,U00295,5522.16,2024-05-04 18:00:00,18,success
T000372,U00297,2266.55,2024-04-15 15:00:00,15,success
T000373,U00299,2578.66,2024-02-14 14:00:00,14,success
T000374,U00299,4935.61,2024-02-15 14:00:00,14,success
T000375,U00299,5523.15,2024-03-05 14:00:00,14,failed
T000376,U00299,4159.29,2024-03-03 14:00:00,14,pending
T000377,U00299,4838.2,2024-03-17 14:00:00,14,success
T000378,U00299,4214.19,2024-03-05 14:00:00,14,success
T000379,U00299,4303.15,2024-03-03 14:00:00,14,success
T000380,U00301,824.18,2024-01-02 19:00:00,19,success
T000381,U00301,5474.42,2024-01-09 19:00:00,19,success
T000382,U00301,1177.18,2024-01-12 19:00:00,19,success
T000383,U00301,5067.09,2024-01-08 19:00:00,19,success
T000384,U00310,1277.52,2024-05-06 08:00:00,8,success
T000385,U00311,2089.37,2024-02-13 05:00:00,5,success
T000386,U00311,3498.95,2024-02-15 05:00:00,5,failed
T000387,U00311,1204.3,2024-02-25 05:00:00,5,success
T000388,U00311,1516.77,2024-03-02 05:00:00,5,success
T000389,U00314,4909.54,2024-02-26 19:00:00,19,success
T000390,U00314,1928.24,2024-03-04 19:00:00,19,success
T000391,U00314,5537.01,2024-03-03 19:00:00,19,success
T000392,U00314,4532.62,2024-03-06 19:00:00,19,success
T000393,U00314,2947.93,2024-03-13 19:00:00,19,success
T000394,U00314,4021.08,2024-04-06 19:00:00,19,success
T000395,U00316,6404.34,2024-05-31 05:00:00,5,success
T000396,U00316,1204.92,2024-06-05 05:00:00,5,success
T000397,U00316,2744.77,2024-06-10 05:00:00,5,success
T000398,U00316,3565.58,2024-06-18 05:00:00,5,success
T000399,U00317,5476.6,2024-05-20 12:00:00,12,failed
T000400,U00318,6679.89,2024-01-18 23:00:00,23,success
T000401,U00318,4015.91,2024-01-19 23:00:00,23,success
T000402,U00322,2691.38,2024-05-30 20:00:00,20,success
T000403,U00322,5426.06,2024-06-05 20:00:00,20,success
T000404,U00322,4120.5,2024-06-11 20:00:00,20,success
T000405,U00322,4037.61,2024-06-17 20:00:00,20,success
T000406,U00322,6398.22,2024-07-05 20:00:00,20,success
T000407,U00322,3764.84,2024-07-04 20:00:00,20,success
T000408,U00327,3847.15,2024-01-17 22:00:00,22,success
T000409,U00327,3513.18,2024-01-21 22:00:00,22,success
T000410,U00327,6715.11,2024-02-04 22:00:00,22,success
T000411,U00327,5650.58,2024-02-07 22:00:00,22,success
T000412,U00329,2081.33,2024-01-22 14:00:00,14,success
T000413,U00329,3846.89,2024-01-30 14:00:00,14,success
T000414,U00329,3720.92,2024-01-30 14:00:00,14,failed
T000415,U00329,6151.45,2024-01-31 14:00:00,14,success
T000416,U00329,3272.59,2024-02-03 14:00:00,14,success
T000417,U00329,3755.02,2024-01-27 14:00:00,14,success
T000418,U00329,6917.74,2024-03-10 14:00:00,14,success
T000419,U00329,2525.69,2024-02-12 14:00:00,14,success
T000420,U00330,2290.74,2024-02-20 18:00:00,18,success
T000421,U00335,4389.34,2024-03-03 15:00:00,15,success
T000422,U00335,1179.02,2024-03-10 15:00:00,15,success
T000423,U00335,1563.09,2024-03-23 15:00:00,15,pending
T000424,U00335,4055.59,2024-03-24 15:00:00,15,success
T000425,U00335,3229.24,2024-03-27 15:00:00,15,success
T000426,U00336,3753.54,2024-04-13 21:00:00,21,success
T000427,U00336,3445.77,2024-04-20 21:00:00,21,success
T000428,U00336,4766.93,2024-04-29 21:00:00,21,success
T000429,U00336,3537.52,2024-05-10 21:00:00,21,success
T000430,U00336,5003.03,2024-05-23 21:00:00,21,success
T000431,U00336,3551.9,2024-05-13 21:00:00,21,success
T000432,U00336,4071.89,2024-06-12 21:00:00,21,failed
T000433,U00336,6736.0,2024-05-18 21:00:00,21,success
T000434,U00342,1594.21,2024-01-15 13:00:00,13,success
T000435,U00342,2281.14,2024-01-18 13:00:00,13,success
T000436,U00342,4733.32,2024-01-25 13:00:00,13,success
T000437,U00342,2818.46,2024-01-27 13:00:00,13,success
T000438,U00342,827.19,2024-02-12 13:00:00,13,success
T000439,U00343,6544.97,2024-06-08 18:00:00,18,success
T000440,U00343,3655.17,2024-06-17 18:00:00,18,success
T000441,U00343,6183.98,2024-06-28 18:00:00,18,success
T000442,U00343,1499.05,2024-06-20 18:00:00,18,success
T000443,U00343,955.09,2024-07-18 18:00:00,18,success
T000444,U00343,2739.23,2024-06-13 18:00:00,18,success
T000445,U00347,2909.28,2024-05-29 19:00:00,19,success
T000446,U00350,2995.22,2024-03-23 08:00:00,8,success
T000447,U00350,2111.94,2024-04-02 08:00:00,8,success
T000448,U00350,1491.82,2024-03-29 08:00:00,8,success
T000449,U00351,1548.81,2024-03-11 07:00:00,7,success
T000450,U00351,4596.23,2024-03-15 07:00:00,7,success
T000451,U00351,1973.72,2024-03-25 07:00:00,7,success
T000452,U00351,2157.92,2024-03-23 07:00:00,7,failed
T000453,U00351,4195.22,2024-04-04 07:00:00,7,success
T000454,U00351,4988.9,2024-03-16 07:00:00,7,success
T000455,U00351,1040.17,2024-03-29 07:00:00,7,success
T000456,U00351,3020.63,2024-03-18 07:00:00,7,success
T000457,U00358,4368.04,2024-02-05 06:00:00,6,success
T000458,U00358,2592.81,2024-02-13 06:00:00,6,failed
T000459,U00358,6571.39,2024-02-13 06:00:00,6,success
T000460,U00358,2819.62,2024-03-06 06:00:00,6,success
T000461,U00359,6026.93,2024-06-21 23:00:00,23,success
T000462,U00360,3062.22,2024-06-16 11:00:00,11,success
T000463,U00361,6558.58,2024-03-18 21:00:00,21,pending
